"","X","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics","corpus$sent"
"808",808,"5","United Kingdom","Ryder","""Runner in the Night""","English","7","72",1986,"  Goin' home, I'm a runner in the night Turnin' back with another chance to make it right I know where I went wrong I've been away for far too long I'm on the track – I'm a runner in the night You told me once not to go, I guess I wasn't listening I was blind to reason then You were the light guidin' me Was so confused I could not see Without your love I wasn't free Goin' home, I'm a runner in the night Turnin' back with another chance to make it right I wanna start again Go back in time till I get to when I took your heart like a runner in the night You didn't ask much of me I didn't make you promises You kept faith, I broke the rules I'm sorry now, my mistake I didn't mean that your heart should break I want you back, what will it take?  Oh. . .  oh. . .  I know I made you wait, I only hope it's not too late To try again for a runner in the night  ( Runnin', runnin', runnin', runnin' )   ( Runnin', runnin', runnin', runnin' )  Yeah. . .  Goin' home, I'm a runner in the night, ooh. . .  Touchin' down on the runway with the mornin' flight I know I made you wait I only hope it's not too late To try again for a runner in the night  ( Runnin', runnin' )  Goin' home, I'm a runner in the night, ooh. . .  Touchin' down on the runway with the mornin' flight I know I made you wait I only hope it's not too late ",0.0339506172839506
"815",815,"12","Ireland","Luv Bug","""You Can Count On Me""","English","4","96",1986,"  I was so happy with you My hopes and dreams had all come true And our love shone for all the world to see As if you turned out the light Your love was gone overnight And all I've left – the words you said to me You can count on me You can count on me Till the end of time, plus eternity You can count on me You can count on me I'll be by your side, you can count on me I see despair all around All of the world is upside down And there's no light ahead that I can see If we could only be friends Give it a chance and try again Maybe we can relive the words you said to me You can count on me You can count on me Till the end of time, plus eternity You can count on me  ( On me, don't you know?  )  You can count on me I'll be by your side, you can count on me  ( You can count on )   ( You can count on )   ( Don't you know you can count on me?  )  I'll be by your side, you can count on me You can count on me  ( On me, don't you know?  )  You can count on me Count on me till the end of time, plus eternity You can count on me  ( On me, don't you know?  )  You can count on me Count on me, I'll be by your side, by your side You can count on me ",0.046594982078853
"824",824,"1","Ireland","Maria Christian","""Wait Until the Weekend Comes""","English","6","91",1985,"  Wait until the weekend comes Then we'll have what time it takes To sort it out To see it through Wait until the weekend comes Sundays always change your mind And make you laugh about me and you Hold me now Really don't want you to go Really don't want you to go And I'm so afraid Hold me now Really don't want you to know Really don't want you to know That I'm so afraid Wait until the summer comes Sunshine looks so good on you We'll catch the tide and start anew Hold me now Really don't want you to go Really don't want you to go And I'm so afraid Hold me now Really don't want you to know Really don't want you to know That I'm so afraid Wait until the rainbow ends Then we'll find our pot of gold Lovers, friends, just growin' old So wait until the weekend comes and goes Wait until the weekend comes and goes ",0.0359281437125748
"837",837,"14","United Kingdom","Vikki","""Love Is…""","English","4","100",1985,"  It's been a pleasant evening Now she says she's leaving And he's too proud to say out loud Oh baby, won't you stay?  Now she says she'll call him She finds herself fallin' When he reaches out and touches her hand She turns to walk away 'Cause there's always a weak one Always a strong one, who'll be the first to fall?  Love is the danger of meeting a stranger And takin' a chance on two hearts makin' it Love is the fire, the burnin' desire That makes the world go round Love is the feelin' that makes you believe in Takin' a chance on two hearts beatin' as one That's what love is Still she's hesitating Is the ice worth breaking?  Should she hold back or rush right in Where angels fear to tread?  'Cause there's always a weak one Always a strong one, who'll be the first to fall?  Love is the danger of meeting a stranger And takin' a chance on two hearts makin' it Love is the fire, the burnin' desire That makes the world go round Love is the feelin' that makes you believe in Takin' a chance on two hearts beatin' as one That's what love is, hoh. . .  Love is the danger of meeting a stranger And takin' a chance on two hearts makin' it Love is the fire, the burnin' desire That makes the world go round Love is the feelin' that makes you believe in Takin' a chance Love is the danger of meeting a stranger And takin' a chance on two hearts makin' it Love is the fire, the burnin' desire That makes the world go round Love is the feelin' that makes you believe in Takin' a chance Love is the danger of meeting a stranger And takin' a chance on two hearts makin' it Love is the fire, the burnin' desire That makes the world go round ",0.15702479338843
"848",848,"6","United Kingdom","Belle and the Devotions","""Love Games""","English","7","63",1984,"   ( You were only playin' love games )   ( You were only playin' love games, baby )   ( You were only playin' love games )   ( You were only playin' love games, baby )  Why?   ( Baby, baby, why?  )  Why'd you wanna break my heart, babe?  You should have told me from the start, babe  ( You should have told me from the start, oh baby )  You should have let me know that you were letting go Oh why?   ( Baby, baby, why?  )  Why'd you wanna break my heart, babe?  When you knew that we were partin', babe  ( Should have told me we were partin', baby )  Should have let me know You should have told me so Oh darling. . .  You were only playin' love games  ( You were only playin' love games, baby )  You were only playin' love games  ( You were only playin' love games with my heart )  You gave me sugar lovin' and it stuck like glue And all this time you had me hooked on you  ( Baby, baby )  You were only playin' love games  ( You were only playin' love games, baby )  You were only makin' love pains  ( You were only makin' love pains with my heart )  I was just your puppet and you know it's true You could snap your fingers and I'd run to you  ( Baby, baby )  Oh why?   ( Baby, baby, why?  )  Why'd you wanna break my heart, babe?  You should have told me at the start, babe  ( You should have told me, baby, could have told me )  When you knew all the time that you were never mine Oh why?   ( Baby, baby, why?  )  Why'd you wanna break my heart, babe?  When you knew that we would part, babe  ( When you knew that we would part, oh baby )  That you would make me cry, that you would say goodbye Oh darling. . .  You were only playin' love games  ( You were only playin' love games, baby )  You were only playin' love games  ( You were only playin' love games with my heart )  You gave me sugar lovin' and it stuck like glue And all this time you had me hooked on you  ( Baby, baby )  You were only playin' love games  ( You were only playin' love games, baby )  You were only makin' love pains  ( You were only makin' love pains with my heart )  I was just your puppet and you know it's true You could snap your fingers and I'd run to you  ( Baby, baby )  You were only playin' love games  ( You were only playin' love games, baby )  You were only playin' love games  ( You were only playin' love games with my heart )  You gave me sugar lovin' and it stuck like glue And all this time you had me hooked on you  ( Baby, baby )  You were only playin' love games  ( You were only playin' love games, baby )  You were only makin' love pains  ( You were only makin' love pains with my heart )  I was just your puppet and you know it's true ",0.142628205128205
"851",851,"9","Ireland","Linda Martin","""Terminal 3""","English","2","137",1984,"  Long distance USA, last night I heard him say He's been away too long, now he's coming home Be on the morning plane, if I still feel the same I should be waiting 'cause he'd be all alone I'm in Arrivals by the time he had said I search the information board and it read ""Terminal Three: flight's on time"" Staring into a space, searching through every face He's been away too long now, he must have changed Another time and place can never quite erase The way he turned his back and walked away I repeated all the words he had said Until a voice came through into my head ""Terminal Three: flight's on time"" Fly to me on the wings of all you meant to me Memories of the dreams that all tomorrow can be For you and me ""Terminal Three: flight's on time"" Fly to me on the wings of all you meant to me Memories of the dreams that all tomorrow can be For you and me ""Terminal Three: flight's on time"" Long distance USA, last night I heard him say Could I be waiting 'cause he'd be all alone I told him nothing's changed and I still feel the same He's been away too long Come on home  ( Long distance USA, last night I heard him say )  Come on home  ( Could I be waiting 'cause he'd be all alone )  Come on home  ( I told him nothing's changed and I still feel the same )  Come on home  ( He's been away too long )  ""Terminal Three: flight's on time"" Long distance USA, long distance USA Long distance USA, long distance USA Long distance USA, long distance USA Long distance USA, long distance USA ",-0.0124223602484472
"864",864,"3","United Kingdom","Sweet Dreams","""I'm Never Giving Up""","English","6","79",1983,"  I don't believe in idle gossip The jealous mind can be unfair I hear them make their accusations But baby, come what may No matter what the people say I'm never givin' up, not givin' in If there's the slightest chance that I could win The battle may be lost, but I can win the war And get your lovin' back the way it was before At times it's hard to see the changes Or read the writing on the wall We may become the best of strangers But I'll keep holding on Until I know my chance has gone I'm never givin' up, not givin' in If there's the slightest chance that I could win The battle may be lost, but I can win the war And get your lovin' back the way it was before Never givin' up, I'm never givin' up I'm never givin' up, not givin' in If there's the slightest chance that I could win The battle may be lost, but I can win the war And get your lovin' back the way it was I'm never givin' up, not givin' in If there's the slightest chance that I could win The battle may be lost, but I can win the war And get your lovin' back the way it was before Never givin' up, I'm never givin' up  ( I'm allowed to. . .  all I want to. . .  need your lovin' )  I'm never never givin'. . .  never never givin'. . .  never givin' up ",0.055363321799308
"885",885,"4","United Kingdom","Bardo","""One Step Further""","English","7","76",1982,"  One step further and I would have been there Can't seem to get your attention no matter how I try I just want you to prefer me to the other guys So when you looked at me, you only turned away So I walked up beside you But I forgot all the things that I planned to say I don't know if I tried to I could have taken one step further And I would have been there You could have turned around And hit me and I wouldn't have cared All this time I didn't get anywhere I could have taken one step further And I would have been there Ain't got the courage to speak when you're sometimes near Well I can't seem to think of the things that a girl likes to hear But when I saw you again, you were all alone So I walked up beside you But I was too shy to even ask you home I don't know if I tried to I could have taken one step further And I would have been there You could have turned around And hit me and I wouldn't have cared All this time I didn't get anywhere I could have taken one step further And I would have been there If you read my letters or my telegrams You'd have got around to asking me just who I am 'Cause you know I'm gonna get ya I'm gonna get ya, I'm gonna get ya One step further and I would have been there You could have turned around And hit me and I wouldn't have cared All this time I didn't get anywhere I could have taken one step further And I would have been. . .  One step further and I would have been there You could have turned around And hit me and I wouldn't have cared All this time I didn't get anywhere One step further and I would have been there You could have turned around And hit me and I wouldn't have cared All this time I didn't get anywhere I could have taken one step further And I would have been. . .   ( One step further and I would have been there )  I could have tooken one step further  ( One step further and I would've been there )  One step, one step ",0.00744416873449132
"898",898,"17","Ireland","The Duskeys","""Here Today Gone Tomorrow""","English","11","49",1982,"  Lala lalalala. . .  la lalalala. . .  la lalalala. . .  La lalalala. . .  la lalalala. . .  la lalalala. . .  Hey baby, tell me please How can you come back to me as cool as a breeze?  You can fool some people with your big brown eyes But I'm the one who knows that you've been telling me lies You tell me that you love me so Then you pack up and off you go Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, love me all of the time Or I don't really wanna know Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, give me all of your love Or I don't really wanna know Lala lalalala. . .  la lalalala. . .  la lalalala. . .  La lalalala. . .  la lalalala. . .  la lalalala. . .  Hey baby, would it be nice If I paid attention to my friends' advice?  They've been telling me that I should turn you down 'Cause you've another girlfriend on the far side of town I always hoped when you'd go away That you would change your rovin' ways And come back to stay Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, love me all of the time Or I don't really wanna know Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, give me all of your love Or I don't really wanna know Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow ",0.0683760683760684
"911",911,"12","Ireland","Sheeba","""Horoscopes""","English","5","105",1981,"  Rushing for the papers every day To find out what the stars have got to say About the fortunes that are on the way It's crazy, crazy Working, not waiting that forever will hold Success comes from what we do, not from what we're told And counting on lucky stars is living on false hopes Don't let the planets take control of our lives Believe in the truth and not celestial lies It's we, not the stars above, who write our horoscopes Virgos and Arians, Leos, Aquarians Pisces, Cancerians show No matter when we're born Libra or Capricorn Taureans and Scorpions know Nothing can change the way we've chosen to live And no one can tell us when to take or to give It's we, not the stars above, who write our horoscopes Yet, in spite of this, when daylight dies There we are, with eyes turned to the sky All anxious to be told a few more lies Still crazy, crazy Working, not waiting that forever will hold Success comes from what we do, not from what we're told And counting on lucky stars is living on false hopes Don't let the planets take control of our lives Believe in the truth and not celestial lies It's we, not the stars above, who write our horoscopes Throw away almanacs, signs of the Zodiac Then there is sense to be found They are celestial, we are terrestrial Let's keep our feet on the ground Don't let the planets take control of our lives Believe in the truth and not celestial lies It's we, not the stars above, who write our horoscopes It's we, not the stars above, who write our horoscopes ",0.0163934426229508
"913",913,"14","United Kingdom","Bucks Fizz","""Making Your Mind Up""","English","1","136",1981,"  You gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up You gotta turn it on And then you gotta put it out You gotta be sure that it's something Everybody's gonna talk about Before you decide that the time's arrived For making your mind up Don't let your indecision Take you from behind Trust your inner vision Don't let others change your mind And now you really gotta burn it up And make another fly by night Get a run for your money And take a chance and it'll turn out right But when you can see how it's gotta be You're making your mind up And try to look as if you don't care less But if you wanna see some more Bending the rules of the game Will let you find the one you're looking for And then you can show that you think you know You're making your mind up Don't let your indecision Take you from behind Trust your inner vision Don't let others change your mind And now you really gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up And now you really gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up For making your mind up For making your mind up For making your mind up ",0.0739549839228296
"932",932,"13","United Kingdom","Prima Donna","""Love Enough for Two""","English","3","106",1980,"  If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough. . .  Yes, I've got love enough. . .  Love enough for two It isn't every road that leads me home It isn't every day I'm on my own But when I'm feeling sad and all alone I think of you, yes, I do You've got a very special kind of style There's something in your eyes each time you smile So tell me you can stay for just a while And love me too If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough. . .  Yes, I've got love enough for two If there's a time in your life for me I've got a lifetime to spend with you 'Cause I've got love enough. . .  Yes, I've got love enough. . .  Love enough for two It isn't every day you meet someone You wanna pin your wildest dreams upon It's true you haven't known me very long But I hope and pray that you'll stay There's something in the way you touch my soul It seemed that I was half, but now I'm whole You've got me under your complete control In every way If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough. . .  Yes, I've got love enough for two If there's a. . .  If there's a time in your life for me I've got a lifetime to spend with you 'Cause I've got love enough. . .  Yes, I've got love enough. . .  Love enough for two Oh, I've got love enough. . .  Oh, I've got love enough. . .  Love enough for two ",0.189910979228487
"936",936,"17","Ireland","Johnny Logan","""What's Another Year""","English","1","143",1980,"  I've been waitin' such a long time Lookin' out for you, but you're not here What's another year?  I've been wakin' such a long time Reachin' out for you, but you aren't near What's another year?  What's another year For someone who's lost everything that he owns?  What's another year For someone who's gettin' used to bein' alone?  I've been prayin' such a long time It's the only way to hide the fear What's another year?  What's another year For someone who's lost everything that he owns?  What's another year For someone who's gettin' used to bein' alone?  I've been cryin' such a long time With such a lot of pain in every tear What's another year  ( For someone who is getting used to being alone?  )  What's another year  ( For someone who is getting used to being alone?  )  What's another year  ( For someone who is getting used to being alone?  )  ",-0.117977528089888
"942",942,"4","Ireland","Cathal Dunne","""Happy Man""","English","5","80",1979,"  It seemed life had no answers for me No special meaning or plan How could I be a happy man?  Then just like in a love song You're here, making each day seem so clear Now I can smile – I'm a happy man I'm in love and I'm alive – happy man Got the sun inside – happy man I've got a girl on my mind Love in my heart – happy man I'm in love and I'm alive – happy man Got the sun inside – happy man So now the whole world can see I've got all I need – I'm a happy man And now you say it's happened to you This love I'm feeling inside Girl, you've made me a happy man And I will share a lifetime with you Making our dreams all come true Now I can smile – I'm a happy man I'm in love and I'm alive – happy man Got the sun inside – happy man I've got a girl on my mind Love in my heart – happy man I'm in love and I'm alive – happy man Got the sun inside – happy man So now the whole world can see I've got all I need – I'm a happy man I'm in love and I'm alive – happy man Got the sun inside – happy man I've got a girl on my mind Love in my heart – happy man I'm in love and I'm. . .  ",0.421259842519685
"955",955,"17","United Kingdom","Black Lace","""Mary Ann""","English","7","73",1979,"  Out on a late night Way after midnight Armed with a bottle or two What's the time?  I'm gettin' out of my mind I've gotta get to you She was in black lace Come back to my place Come for a drink and a dance Boy, I found she didn't hang around I didn't stand a chance She paid a big rent For an apartment uptown One-twenty-one She said: come inside I've got nothin' to hide I only want some fun Havin' a good time Walkin' a tight line I was out of my head Just when I reached for you Like I usually do I found her instead Mary Ann, I'm gonna do what I can But I can't do more than try Tearin' my heart out tryin' to make it up to you Mary Ann, I'm gonna do what I can That's truth, and that's no lie Cryin' my eyes out, gotta get it back with you I woke up early With everythin' blurry And my head rattled with pain Even so, I heard the doorbell go And someone call my name There was her best friend Down for the weekend I knew I'd met her before She said: you dirty man When I see Mary Ann I'm gonna tell her the score Mary Ann, I'm gonna do what I can But I can't do more than try Tearin' my heart out tryin' to make it up to you Mary Ann, I'm gonna do what I can That's truth, and that's no lie Cryin' my eyes out, gotta get it back with you Out on a late night Way after midnight Armed with a bottle or two What's the time?  I'm gettin' out of my mind I've got to get to you Mary Ann, I'm gonna do what I can But I can't do more than try Tearin' my heart out tryin' to make it up to you Mary Ann, I'm gonna do what I can That's truth, and that's no lie Cryin' my eyes out, gotta get it back with you Cryin' my eyes out, gotta get it back with you ",0.025706940874036
"958",958,"1","Ireland","Colm C. T. Wilkinson","""Born to Sing""","English","5","86",1978,"  I said: ""It would never work"" You said: ""Let us try"" I said: ""I'm a travelling man who will only make you cry"" And when the feeling hit me and I had to move along You said: ""You were right, I guess, you must sing your song"" And a man is born to do one thing and I was born to sing And I must take the good times and the bad times that it brings And I missed you in the morning, but most of all at night And I couldn't stop the music, though I tried with all my might I lie in bed and watch the shadows moving on the wall And the loneliness is killing me, so I turn the radio on And I need you now, I want you, in the slow morning light And the music makes it easier, but it doesn't make it right And a man is born to do one thing and I was born to sing And I must take the good times and the bad times that it brings And I missed you in the morning but most of all at night And I couldn't stop the music, though I tried with all my might Some day, I hope, you will understand why I live this way Songs keep moving in my head, this music I must play So I pack my bags and once again I get out on the road Another day, maybe tonight, I might catch my soul And a man is born to do one thing and I was born to sing And I must take the good times and the bad times that it brings And I missed you in the morning, oh, but most of all at night And I couldn't stop the music, though I tried with all my might And a man is born to do one thing and I was born to sing And I must take the good times and the bad times that it brings And I missed you in the morning, oh, but most of all at night And I couldn't stop the music  ( Couldn't stop the music )  No, I couldn't stop the music Because I. . .  Hey, I was born. . .  Born to sing Born to sing Born to sing Born to sing ",-0.0328638497652582
"965",965,"8","United Kingdom","Co-Co","""The Bad Old Days""","English","11","61",1978,"  Remember me?  I was tossed and turnin' like a ship without a sea I was lost for learnin' like a song without a key Remember when I was all alone without a soul to call my friend?  Who'd have thought those days would ever end?  Those were the bad old days Before I had your love to guide me Sad old days You set me free from all those bad old days You put all the good inside of me Those were the bad old days  ( Those were the sad old days )  Before I had you there besides me Sad old days And can't you see?  - you took the bad old days And you put all the good inside of me Remember who Walked into my life and put their foot inside my shoe Now what was just a place for one is home for two Remember why I'm gonna stay with you until the day I die We can watch the good old days go by Those were the bad old days Before I had your love to guide me Sad old days You set me free from all those bad old days You put all the good inside of me Oh dooby-doo. . .  Dooby-dooby-dooby-doo. . .  Aah. . .  Those were the bad old days  ( Those were the sad old days )  Before I had you there beside me Sad old days  ( Those were the sad old days )  And can't you see you took the bad old days And you put all the good inside of me?   ( Those were the bad old days )   ( Those were the bad old days )  You put all the good inside of me  ( Those were the bad old days )  Ah. . .   ( Those were the bad old days )  You put all the good inside of me ",-0.0762195121951219
"978",978,"1","Ireland","The Swarbriggs Plus Two","""It's Nice to Be in Love Again""","English","3","119",1977,"  The sweetest thrill is knowing you're wanted Never thought I'd feel it again So long ago, I almost forgot it It's coming back like an old refrain It's nice to be in love again That old familiar feeling when You say hello and you know it's love It's nice to be in love again That old familiar feeling when You meet your girl and the world stands still Your heart is filled with sweet melody It's nice to be in love again The sweetest thrill, I couldn't believe it I hadn't even a friend This heart of mine was thinking of leaving Until you came walking round that bend It's nice to be in love again That old familiar feeling when you say hello And you know it's love It's nice to be in love again That old familiar feeling when You meet your girl and the world stands still Your heart is filled with sweet melody It's nice to be in love again It's nice to be in love again That old familiar feeling when You meet your girl and the world stands still Your heart is filled with sweet melody It's nice to be in love again It's nice to be in love again That old familiar feeling when you say hello ",0.342592592592593
"983",983,"6","Germany","Silver Convention","""Telegram""","English","8","55",1977,"  Since you're gone I'm all alone – Stop Just can't make it on my own – Stop Operator, did you get the line?  Rush a cable, for I've got no time Gotta send a telegram, telegram to my baby Yes, I'm gonna send a telegram, telegram, and then maybe He won't keep me yearnin' Tonight he'll be on his way, tomorrow he'll be here to stay Help me, ma'am, I can't wait another day Please forgive the things I said – Stop Didn't mean to make you sad – Stop Operator, I'll pay any rate If my message will not be too late Gotta send a telegram, telegram to my baby Yes, I'm gonna send a telegram, telegram, and then maybe He won't keep me yearnin' Tonight he'll be on his way, tomorrow he'll be here to stay Help me, ma'am, I can't wait another day I was such a fool to let him go Too proud to show that I love him so Gotta send a telegram, telegram to my baby Yes, I'm gonna send a telegram, telegram, and then maybe He won't keep me yearnin' Tonight he'll be on his way, tomorrow he'll be here to stay Help me, ma'am, gotta send a telegram ",0.0213675213675214
"986",986,"9","United Kingdom","Lynsey de Paul & Mike Moran","""Rock Bottom""","English","2","121",1977,"  Where are we?  Rock bottom Tragedies?  We got 'em Remedy?  Why don't we rub it out and start it again?  Oh, with a sympathy Oh, I get it Harmony You said it Where are we?  Rock bottom - rub it out and start it again Now can you tell me?   ( Can you tell me?  )  Oh, I don't know But can you help me?   ( Can you help me?  )  I don't know All I know is we can do anything we want to Where are we?  Rock bottom Tragedies?  We got 'em Remedy?  Why don't we rub it out and start it again?  With a sympathy Oh, I get it Harmony You said it Where are we?  Rock bottom Rub it out and start it again Rock, rock, rock bottom Rock, rock, rock bottom Rock, rock, rock bottom Can you tell me?   ( Can you tell me?  )  I don't know But can you help me?   ( Can you help me?  )  Oh, I don't know All I know is we can do anything we want to Where are we?   ( Where are we?  )  Rock bottom Tragedies?   ( Tragedies?  )  We got 'em Remedy?   ( Remedy?  )  Why don't we rub it out and start it again?  Oh, with a sympathy  ( sympathy )  Oh, I get it Harmony  ( harmony )  You said it Where are we?   ( Where are we?  )  Rock bottom - rub it out and start it again Where are we?  Rock bottom - rub it out and start it again Rock, rock, rock bottom Rock, rock, rock bottom Rock, rock, rock bottom Rub it out and start it again Ooh. . .  ",0.0542168674698795
"994",994,"17","Belgium","Dream Express","""A Million in One, Two, Three""","English","7","69",1977,"  Need a million in one, two, three Can't you do a little work for me?  Mister President, can't you see?  I'm never gonna get higher Need a million in one, two, three I'm not too clumsy, as you can see I've got the feeling inside of me Feel my need and desire now I've got the look, but never got the money Just a ten quid flat on the second floor Too doo doo too too too doo. . .  Had a dream: holiday in Cannes A yacht in Monte Carlo next to his Too doo doo too too too doo. . .  Joining your big company Could bring me wealth and sympathy Think you've got some extra needs?  Hey, hey, hey. . .  Need a million in one, two, three Can't you do a little work for me?  Mister President, can't you see?  I'm never gonna get higher Need a million in one, two, three I'm not too clumsy, as you can see I've got the feeling inside of me Feel my need and desire now My bedroom wall's covered with glamour The Lido in December would not be bad Too doo doo too too too doo. . .  Ships and sails, Formula races Super-long drinks down at the Playboy club Too doo doo too too too doo. . .  Joining your big company Could bring me wealth and sympathy Think you've got some extra needs?  Hey, hey, hey. . .  I've got the look, but never got the money Just a ten quid flat on the second floor Too doo doo too too too doo. . .  Had a dream: holiday in Cannes Yacht in Monte Carlo, next to his Too doo doo too too too doo. . .  Joining your big company Could bring me wealth and sympathy Think you've got some extra needs?  Hey, hey, hey. . .  Need a million in one, two, three Can't you do a little work for me?  Mister President, can't you see?  I'm never gonna get higher Need a million in one, two, three I'm not too clumsy, as you can see I've got the feeling inside of me Feel my need and desire Need a million in one, two, three Can't you do a little work for me?  Mister President, can't you see?  I'm never gonna get higher Need a million in one, two, three ",0.0509977827050998
"996",996,"1","United Kingdom","Brotherhood of Man","""Save Your Kisses for Me""","English","1","164",1976,"  Though it hurts to go away, it's impossible to stay But there's one thing I must say before I go: I love you  ( I love you ) , you know I'll be thinkin' of you in most everything I do Now the time is movin' on and I really should be gone But you keep me hangin' on for one more smile I love you  ( I love you )  all the while With your cute little wave Will you promise that you'll save your. . .  Kisses for me, save all your kisses for me Bye bye, baby, bye bye Don't cry, honey, don't cry Gonna walk out the door But I'll soon be back for more Kisses for me, save all your kisses for me So long, honey, so long Hang on, baby, hang on Don't you dare me to stay 'Cause you know I'll have to say That I've got to work each day and that's why I go away But I count the seconds till I'm home with you I love you  ( I love you ) , it's true You're so cute honey, gee Won't you save them up for me?  Your. . .  Kisses for me, save all your kisses for me Bye bye, baby, bye bye Don't cry, honey, don't cry Gonna walk out the door But I'll soon be back for more Kisses for me, save all your kisses for me So long, honey, so long Hang on, baby, hang on Don't you dare me to stay 'Cause you know you've got to save your. . .  Kisses for me, save all your kisses for me Bye bye, baby, bye bye Don't cry, honey, don't cry Won't you save them for me Even though you're only three?  ",0.110778443113772
"997",997,"2","Switzerland","Peter, Sue and Marc","""Djambo, Djambo""","English","4","91",1976,"  The birds have known the old man for many years His eyes have seen so much and look so mild He's up at four and early every morning He feeds them and feels happy like a child Once he was a clown in the arena People said the best that ever was Now they call him good old Djambo Djambo But in his dreams, he still hears the applause Hey hey hey. . .  hey hey hey. . .  Djambo Djambo Don't be sad, for you know that the show must go on Hey hey hey. . .  hey hey hey. . .  Djambo Djambo It was you who had us laughing, you're the one And sometimes you can see him on the sidewalk With little boys and girls around his feets When Djambo Djambo plays his barrel organ Children call it circus in the streets Suddenly his eyes reflect emotion In Djambo's mind, the limelight shines again He's back on stage and all the kids are laughing Just as if the show would never end Hey hey hey. . .  hey hey hey. . .  Djambo Djambo Don't be sad, for you know that the show must go on Hey hey hey. . .  hey hey hey. . .  Djambo Djambo It was you who had us laughing, you're the one Hey hey hey. . .  hey hey hey. . .  Djambo Djambo Don't be sad, for you know that the show must go on Hey hey hey. . .  hey hey hey. . .  Djambo Djambo It was you who had us laughing, you're the one It was you who had us laughing, you're the one ",0.0434782608695652
"1002",1002,"7","Ireland","Red Hurley","""When""","English","10","54",1976,"  When the days of wine are gone And all the nights are long Then all my thoughts run on to you When the lonely silence calls When I walk through empty halls Then all my thoughts run on to you And when they linger for a while You come and touch me with your tender smile And when your love was all my world My days, my life – you were Then all the songs were songs of you I tasted well of sweet success Nothing touched me that was second best Oh, but then I turned and you were gone To someone else's song And now I'm going back to when I loved you now and then When the story now is told And all my love unfolds I've lost my very soul to you Your love was written in the sky But at the time, I never looked so high Darlin', when will you come back to me?  Release me, set me free When?  Oh. . .  when?  ",0.1
"1003",1003,"8","Netherlands","Sandra Reemer","""The Party's Over""","English","9","56",1976,"  The lights are low The party's goin' on And he who's mine He doesn't seem to miss me I feel alone I think that I'll go home But if I stay, at least I hear him The party's over now The party's over now At least I dream it's over now He's sittin' next to me And we do both agree Our life ain't bad at all Yes, the party's over now One of those bad dreams Suddenly came over me But now I feel at ease The lights go out The party's goin' on And he who's mine Seems really to enjoy it I hear him whisper sweet words But not to me I wonder, am I really dreamin'?  The party's over now The party's over now At least I dream it's over now He's sittin' next to me And we do both agree Our life ain't bad at all Yes, the party's over now One of those bad dreams Suddenly came over me But now I feel at ease Yes, the party's over now One of those bad dreams Suddenly came over me But now I feel at ease ",0.00495049504950495
"1004",1004,"9","Norway","Anne-Karine Strøm","""Mata Hari""","English","18","7",1976,"  There are days I just can't make it even though I try to fake it When I wish that I could take it, turn a page and start anew In a world with no tomorrow, I could throw away my sorrow And pretend you'd let me borrow all the magic and wonder of you And for a while feel alive Mata Hari, any man would pay the price of sweet surrender Mata Hari, for the promise in your eyes – it was so tender Those you conquered with your dance never did have a chance You walked away laughing and left them alone with their shame As our dreams are slowly dyin', we find no escape in lyin' Why should we go on denyin' life is never what it seems?  But in times when I am lonely, I keep thinkin' of you only Even though you'd never known me, can't you visit me once in my life And let me feel you were real?  Mata Hari, any man would pay the price of sweet surrender Mata Hari, for the promise in your eyes – it was so tender Those you conquered with your dance – they never did have a chance You walked away laughing and left them alone with their shame Mata Hari, any man would pay the price of sweet surrender Mata Hari, for the promise in your eyes – it was so tender All the secrets sealed with their lips, they gave away for a kiss The eye of the morning and star of the night was your name ",0.0214285714285714
