"","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics"
"896","15","Israel","Avi Toledano","""Hora"" (הורה)","Hebrew","2","100",1982,"  Hora, Hora, Hora Od mazhiv hasade she'azavnu az Od ha'arets noset yevula Ve'od yafim hem haleilot bi Chna'an Terem hashemesh ola Od rakevet chotsa sham pardes yarok Chasida od roga'at me'al Ve'od nisa ha'arafel ba'emek Bein hazricha vehatal Vegam ha Hora, hahi im ha Hei Kola od ole, kola lo nadam Vegam ha Hora, hahi im ha Hei Shira memale libi le'olam Od shatim ananim al batei ha'ir Vehayam melatef et hachol Ve'od nishma ech bilvavot po'em lo Zemer yashan umachol Vegam ha Hora, hahi im ha Hei Kola od ole, kola lo nadam Vegam ha Hora, hahi im ha Hei Shira memale libi le'olam Lai lai lai lai. . .  lala lai lai lai. . .  Lala lala lalala. . .  Lai lai lai lai. . .  lala lai lai lai. . .  Lala lala lalala. . .  Hora, hahi im ha Hei Kola od ole, kola lo nadam Vegam ha Hora, hahi im ha Hei Shira memale libi le'olam Od mazhiv hasade she'azavnu az Od ha'arets noset yevula Ve'od yafim hem haleylot bi Chna'an Terem hashemesh ola Vegam ha Hora, hahi im ha Hei Kola od ole, kola lo nadam Vegam ha Hora, hahi im ha Hei Shira memale libi le'olam Lai lai lai lai. . .  lala lai lai lai. . .  Lala lala lalala. . .  Lai lai lai lai. . .  lala lai lai lai. . .  Lala lala lalala. . .  Hora "
"897","16","Netherlands","Bill van Dijk","""Jij en ik""","Dutch","16","8",1982,"  Kijk, de zwaluwen zijn weer terug Hebben hun reis achter de rug En de winter gaat op de vlucht Jij komt terug Kijk, de perenboom achter ons huis Staat weer in bloei, is weer de bruid En mijn dromen die komen uit Jij komt terug Jij en ik Hebben elkaar weer gevonden We blijven voor altijd verbonden Hoe onze wegen ook gaan Jij en ik Zullen elkaar blijven vinden Om weer opnieuw te beginnen Het heeft in de sterren gestaan Dat we samen naar huis zullen gaan Kijk, langs iedere weg staat een kruis Zo is de lange weg naar huis Jij en ik komen samen thuis Jij komt terug Kijk, de zwaluwen hoog in de lucht Hebben hun reis achter de rug Net als wij niet meer op de vlucht Jij komt terug Jij en ik Hebben elkaar weer gevonden We blijven voor altijd verbonden Hoe onze wegen ook gaan Jij en ik Zullen elkaar blijven vinden Om weer opnieuw te beginnen Het heeft in de sterren gestaan Dat we samen naar huis moeten Jij en ik Langs die verschillende wegen We komen elkaar toch weer tegen Daar waar de perenboom staat "
"898","17","Ireland","The Duskeys","""Here Today Gone Tomorrow""","English","11","49",1982,"  Lala lalalala. . .  la lalalala. . .  la lalalala. . .  La lalalala. . .  la lalalala. . .  la lalalala. . .  Hey baby, tell me please How can you come back to me as cool as a breeze?  You can fool some people with your big brown eyes But I'm the one who knows that you've been telling me lies You tell me that you love me so Then you pack up and off you go Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, love me all of the time Or I don't really wanna know Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, give me all of your love Or I don't really wanna know Lala lalalala. . .  la lalalala. . .  la lalalala. . .  La lalalala. . .  la lalalala. . .  la lalalala. . .  Hey baby, would it be nice If I paid attention to my friends' advice?  They've been telling me that I should turn you down 'Cause you've another girlfriend on the far side of town I always hoped when you'd go away That you would change your rovin' ways And come back to stay Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, love me all of the time Or I don't really wanna know Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow Baby, give me all of your love Or I don't really wanna know Here today, gone tomorrow One day love, next day sorrow First you give, then you borrow Here today, gone tomorrow "
"899","18","Germany","Nicole","""Ein Bißchen Frieden""","German","1","161",1982,"  Wie eine Blume am Winterbeginn Und so wie ein Feuer im eisigen Wind Wie eine Puppe, die keiner mehr mag Fühl ich mich an manchem Tag Dann seh ich die Wolken, die über uns sind Und höre die Schreie der Vögel im Wind Ich singe aus Angst vor dem Dunkeln mein Lied Und hoffe, dass nichts geschieht Ein bisschen Frieden, ein bisschen Sonne Für diese Erde, auf der wir wohnen Ein bisschen Frieden, ein bisschen Freude Ein bisschen Wärme, das wünsch ich mir Ein bisschen Frieden, ein bisschen Träumen Und dass die Menschen nicht so oft weinen Ein bisschen Frieden, ein bisschen Liebe Dass ich die Hoffnung nie mehr verlier Ich weiss, meine Lieder, die ändern nicht viel Ich bin nur ein Mädchen, das sagt, was es fühlt Allein bin ich hilflos, ein Vogel im Wind Der spürt, dass der Sturm beginnt Ein bisschen Frieden, ein bisschen Sonne Für diese Erde, auf der wir wohnen Ein bisschen Frieden, ein bisschen Freude Ein bisschen Wärme, das wünsch ich mir Ein bisschen Frieden, ein bisschen Träumen Und dass die Menschen nicht so oft weinen Ein bisschen Frieden, ein bisschen Liebe Dass ich die Hoffnung nie mehr verlier Sing mit mir ein kleines Lied  ( Ein bisschen Frieden, ein bisschen Sonne )   ( Für diese Erde, auf der wir wohnen )  Dass die Welt in Frieden lebt  ( Ein bisschen Frieden, ein bisschen Freude )   ( Ein bisschen Wärme, das wünsch ich mir )  Singt mit mir ein kleines Lied  ( Ein bisschen Frieden, ein bisschen Träumen )   ( Und dass die Menschen nicht so oft weinen )  Dass die Welt in Frieden lebt  ( Ein bisschen Frieden, ein bisschen Liebe )   ( Dass ich die Hoffnung nie mehr verlier )  "
"900","1","Austria","Marty Brem","""Wenn du da bist""","German","17","20",1981,"  Wenn du fort bist Und all' die Vögel singen doch Wenn du fort bist Und die Blumen blühen doch Bin ich einsam Und all' die Menschen um mich her tun Als ob nichts geschehen wär' Wenn du fort bist Hör' ich das Vogelsingen nicht Wenn du fort bist Gibt selbst die Sonne trübes Licht Was ich tue, es ist alles fad und leer Dann fehlst du mir so sehr Doch wenn du da bist Und ich atme deine Nähe Mir ganz nah bist Und ich in deine Augen sehe Wenn du da bist Und ich dich in die Arme nehme Dann vergessen wir die Welt ringsum uns her Wenn du da bist Seh' ich die Bäume wieder blühen Wenn du da bist Seh' ich die Blumen wieder blühen Wenn du da bist Ja, dann wünsch' ich mir so sehr: Bitte geh nicht fort, nie mehr Wenn du fort bist Laufe ich ohne Ziel umher Ganz verloren Fühl' ich mich ausgehöhlt und leer Wenn du fort bist Habe ich keine Pläne mehr Dann fehlst du mir so sehr Doch wenn du da bist Und ich atme deine Nähe Mir ganz nah bist Und ich in deine Augen sehe Wenn du da bist Und ich dich in die Arme nehme Dann vergessen wir die Welt ringsum uns her Wenn du da bist Seh' ich die Bäume wieder blühen Wenn du da bist Seh' ich die Blumen wieder blühen Wenn du da bist Ja, dann wünsch' ich mir so sehr: Bitte geh nicht fort, nie mehr "
"901","2","Turkey","Modern Folk Üçlüsü & Ayşegül","""Dönme Dolap""","Turkish","18","9",1981,"  Yaşamak oyun değil arkadaş Dünyaya gelmenin bir bedeli var Dost bildiklerin tükenmez arkadaş Sevgi insanların hamurunda var Yaşamak dönme dolap gibidir Onun da iniş ve çıkışları var Talihlidir hep çıkanlar arkadaş Gerçek dost inenlerin yanında var Nefes almak değildir yaşamak Düşünmek ve hissetmektir yaşamak Sen gülmeden geçen günlere acı Dönme dolap iner çıkar arkadaş Yaşamak oyun değil arkadaş Dünyaya gelmenin bir bedeli var Dost bildiklerin tükenmez arkadaş Sevgi insanların hamurunda var Yaşamak dönme dolap gibidir Onun da iniş ve çıkışları var Talihlidir hep çıkanlar arkadaş Gerçek dost inenlerin yanında var Nefes almak değildir yaşamak Düşünmek ve hissetmektir yaşamak Sen gülmeden geçen günlere acı Dönme dolap iner çıkar arkadaş Arkadaş. . .  arkadaş. . .  "
"902","3","Germany","Lena Valaitis","""Johnny Blue""","German","2","132",1981,"  Blue, Blue, Blue, Johnny Blue Alle singen deine Lieder Blue, Blue, Blue, Johnny Blue Und die ganze Welt hört zu Er wuchs auf ohne Freunde Denn keiner wollt spielen Mit einem, der blind war wie er Und er sass meist zu Hause Die Jungen dort draussen Die riefen bloss hinter ihm her Sie riefen: Blue, Blue, Blue, Johnny Blue Welche Farbe hat die Sonne?  Blue, Blue, Blue, Johnny Blue Kinder können grausam sein Auf der alten Gitarre Die ihm jemand schenkte Da spielte er, sie war sein Freund Seine Lieder, die klangen Nach Hoffnung und Freude Und manchmal, als ob jemand weint Und er sang: Blue, Blue, Blue, Johnny Blue Welche Farbe hat die Sonne?  Blue, Blue, Blue, Johnny Blue Und die Kinder hörten zu Und bald spielte keiner so wie er  ( Blue, Blue, Blue, Johnny Blue )  Seine Lieder, die gingen den Menschen ans Herz  ( Welche Farbe hat die Sonne?  )  Und er malte Farben aus Musik  ( Blue, Blue, Blue, Johnny Blue )  Und vergass all seinen Schmerz Und bald kamen Zehntausend Zu seinen Konzerten Denn er schenkte ihnen die Kraft An die Zukunft zu glauben Im Dunkel des Lebens Er hatte es selber geschafft Oh Johnny Blue, Blue, Blue, Johnny Blue Und sie kamen immer wieder Blue, Blue, Blue, Johnny Blue Keiner spielt so schön wie du Blue, Blue, Blue, Johnny Blue Alle singen deine Lieder Blue, Blue, Blue, Johnny Blue Und die ganze Welt hört zu  ( Blue, Blue, Blue, Johnny Blue )  Und die ganze Welt hört zu "
"903","4","Luxembourg","Jean-Claude Pascal","""C'est peut-être pas l'Amérique""","French","11","41",1981,"  C'est peut-être pas l'Amérique Mais l'Amérique, ce n'est pas tout J'ai dans le cœur une musique Et cette musique pour moi, c'est beaucoup Elle vient du nord ou de Provence Elle est tramontane ou mistral Elle est le violon pour la danse Ou le chœur dans la cathédrale Elle chante dans mes soirs de fête Elle berce mes nuits de cafard Elle est ballade ou chansonnette Elle est piano, elle est guitare C'est peut-être pas l'Amérique Mais l'Amérique, ce n'est pas tout J'ai dans le cœur une musique Et cette musique pour moi, c'est beaucoup Elle vient du fond de nos mémoires Elle vient d'avant que l'on soit né Elle nous raconte notre histoire Nos racines et notre passé Si l'univers est à l'orage Si la terre tremble sous nos pieds Nous continuerons le voyage Pour qu'elle n'arrête pas de chanter C'est peut-être pas l'Amérique Mais l'Amérique, ce n'est pas tout J'ai dans le cœur une musique Et cette musique pour moi, c'est beaucoup  ( C'est peut-être pas l'Amérique )   ( Mais l'Amérique, ce n'est pas tout )  J'ai dans le cœur une musique Et cette musique pour moi, c'est beaucoup "
"904","5","Israel","Hakol Over Habibi","""Halayla"" (הלילה)","Hebrew","7","56",1981,"  Lifnei shenipared Beterem yom yered Dvarim rabim ye'amru beineinu Elef milim, elef tslilim Ad halaila Nidme shekvar kara Nidme shekvar haya Nidme shekvar ne'emru beineinu Kol hamilim, kol hatslilim Laila laila Ma shehaya, ma shehaya Shehaya beineinu Ma shehaya, ma shehaya She'amarnu shneinu Kol hamilim, kol hatslilim Laila laila She'amarnu shneinu Ma shehaya, ma shehaya Shehaya beineinu Ma shehaya, ma shehaya She'amarnu shneinu Kol hamilim, kol hatslilim Laila laila Laila laila, la Laila laila, la Halaila, halaila Ihye ze halaila Nomar dvarim shelo amarnu me'olam Halaila  ( Laila laila )  Halaila  ( Yom valaila )  Ihye ze halaila Shebo nomar Lelo milim, lelo tslilim Nomar dvarim shel ahava Ma shehaya, ma shehaya Shehaya beineinu Ma shehaya, ma shehaya She'amarnu shneinu Kol hamilim, kol hatslilim Laila laila Laila laila, laila  ( Ma shehaya, ma shehaya )   ( Shehaya beineinu )   ( Ma shehaya, ma shehaya )   ( She'amarnu shneinu )  Kol hamilim, kol hatslilim Laila laila Laila laila, la Laila laila, la Laila laila, la Laila laila, la Laila laila, la Laila laila, la "
"905","6","Denmark","Tommy Seebach & Debbie Cameron","""Krøller eller ej""","Danish","11","41",1981,"  Jeg har en søn på to Med store, lyse krøller Jeg har en dreng på tre Med store, brune øjne Jamen, jeg har bare én mer' end du har Okay, måske, men ingen er bedre end min For han er bare helt speciel Hvis jeg må si' det selv Krøller eller ej, vi elsker vores børn Brune øjne eller ej, I elsker jeres børn For én ting er givet Vi håber alle på at de må få de ting, de ønsker sig Om de' fire eller tres, har krøller eller ej For én ting er givet Vi håber alle på at de må få de ting, de ønsker sig Om de' fire eller tres, har krøller eller ej Længe leve alle børn Lyse krøller eller ej, vi elsker vores børn Brune øjne eller ej, I elsker jeres børn For én ting er givet Vi håber alle på at de må få de ting, de ønsker sig Om de' fire eller tres, har krøller eller ej  ( Længe leve børn )   ( Om de har krøller eller ej )  "
"906","7","Yugoslavia","Seid Memić ""Vajta""","""Lejla""","Bosnian","15","35",1981,"  Nikad te niko neće voljet' k'o ja, nikada Nikad te niko neće voljet' k'o ja, nikada Malo nam je trebalo znaj Samo malo još jedan san Za nas bi procvjetale ruže Da si dočekala sa mnom dan O samo da si ostala tu Ali nisi željela to Ali nisi željela to Nikad te niko neće voljet' k'o ja, nikada Nikad te niko neće voljet' k'o ja, Lejla Ptice bi nas pjesmom vodile znaj Sunce bi nam obasjalo put Za našu sreću i za tebe draga Sačuvao sam ljubav svu O samo da si ostala tu Ali nisi željela to Ali nisi željela to Nikad te niko neće voljet' k'o ja, nikada Nikad te niko neće voljet' k'o ja, Lejla Nikad te niko neće voljet' k'o ja, Lejla "
"907","8","Finland","Riki Sorsa","""Reggae OK""","Finnish","16","27",1981,"  Täs on teille yksi juttu ehkä outo homma täällä Reggae OK Ja jos ei kaikille viel tuttu silti koko ajan päällä Reggae OK No niin rastat kun kundit kulmilla Tätä biittiä pitää jo omanaan Ja mätti joka sanoo kiitti mulle riitti Reggae OK Tää rytmi menee tajuntaan se soundi on kuin pommi Reggae OK Sen opit kyllä tosta vaan se tuttu on kuin rommi Reggae OK Ja jos kiinnostaa tää meno nyt Niin nauti siitä kunnes menetyt Ja kohta säkin sanot tää biitti mulle kiitti Reggae OK Reggae OK, reggae Tää rytmi menee tajuntaan se soundi on kuin pommi Reggae OK Sen opit kyllä tosta vaan se tuttu on kuin rommi Reggae OK Ja jos kiinnostaa tää meno nyt Niin nauti siitä kunnes läkähdyt Ja kohta säkin sanot tää biitti mulle kiitti Reggae OK, Reggae OK Reggae OK, Reggae OK OK?  "
"908","9","France","Jean Gabilou","""Humanahum""","French","3","125",1981,"  Sur une galaxie en l'an trois mille  ( En l'an trois mille )  Un vieil homme est assis sur le sol gris  ( Sur le sol gris )  Autour de lui, tous les enfants sont réunis Pour écouter ce qu'il va raconter Regardez, mes petits, là-bas, dans la nuit  ( Là, dans la nuit )  Cette boule qui brille était pleine de vie  ( Pleine de vie )  Les hommes de naguère en étaient fiers Et l'avaient baptisée: la Terre Humanahum  ( Humana-huma )  Humanahum  ( Humana-huma )  Humanahum Terre, Terre des Hommes Il y avait de l'eau et de grands arbres  ( C'est quoi un arbre?  )  Et des milliers d'oiseaux volant sur les vagues  ( C'est quoi une vague?  )  Et plein de fruits dans les vallées et les prairies Et les forêts savaient encore chanter Il y avait des femmes et des filles en fleurs  ( C'est quoi une fleur?  )  Les hommes les portaient autour de leurs cœurs  ( C'est quoi un cœur?  )  Les femmes de naguère en étaient fières L'amour était fruit de la terre Humanahum  ( Humana-huma )  Humanahum  ( Humana-huma )  Humanahum Terre, Terre des Hommes Et voilà, mes amis, l'histoire est finie  ( Pourquoi finie?  )  Cette boule qui brille n'a plus de vie  ( N'a plus de vie )  Les hommes de naguère étaient tous frères Mais ils ont inventé la guerre Humanahum  ( Humana-huma )  Humanahum  ( Humana-huma )  Humanahum Terre, Terre des Hommes Humanahum Humanahum  ( Humana-huma )  Humanahum Terre, Terre des Hommes Humanahum "
"909","10","Spain","Bacchelli","""Y sólo tú""","Spanish","14","38",1981,"  Y sólo tú, y sólo yo Enamorados en la playa bajo el sol No hay nadie más alrededor Y en la arena yo dibujo un corazón El viento enreda tus cabellos Como queriéndote acariciar Y sólo tú, y sólo yo El cielo azul y en tus ojos el amor Mirando el mar embrujador Nos abrazamos con la fuerza del ciclón Nada, nada, nada, nada Nada es igual si tú no estás Me quedo con mi soledad en un rincón, whoa. . .  Nada, nada, nada, nada Nada es igual si no estás tú Whoa, whoa, whoa. . .  Y sólo tú, y sólo yo Sabemos todos los secretos del amor Y sólo tú, y sólo yo En nuestro mundo dulce, alegre y soñador Entre mis brazos yo te beso Siento en tus labios fuego abrasador Nada, nada, nada, nada Nada es igual si tú no estás Me quedo con mi soledad en un rincón, whoa. . .  Nada, nada, nada, nada Nada es igual si no estás tú Whoa, whoa, whoa. . .  Y sólo tú, y sólo yo Sabemos todos los secretos del amor Y sólo tú, y sólo yo En nuestro mundo dulce, alegre y soñador Entre mis brazos yo te beso Siento en tus labios fuego abrasador Nada, nada, nada, nada Nada es igual si tú no estás Me quedo con mi soledad en un rincón, whoa. . .  Nada, nada, nada, nada Nada es igual si no estás tú Whoa, whoa, whoa. . .  Nada, nada, nada, nada Nada es igual si tú no estás Me quedo con mi soledad en un rincón, whoa. . .  Nada, nada, nada, nada Nada es igual si no estás tú Whoa, whoa, whoa. . .  "
"910","11","Netherlands","Linda Williams","""Het is een wonder""","Dutch","9","51",1981,"  Het is een wonder Het is een wonder Ja, dat ik jou heb ontmoet Jij geeft m'n leven nu voorgoed een stimulans Het is een wonder Het is een wonder Als ik denk aan wat jij doet Jij geeft m'n leven nieuwe moed Een beetje glans Een warme tint'ling in m'n bloed Een liefdesdans Een nieuwe kans Het is een wonder Gelukkig zijn betekende voor mij eerst niet zoveel Ik had ook geen ervaring nog, zelfs integendeel Altijd vallen en weer opstaan zonder commentaar En in stilte knoopte ik de eindjes aan elkaar Het is een wonder Het is een wonder Ja, dat ik jou heb ontmoet Jij geeft m'n leven nu voorgoed een stimulans Het is een wonder Het is een wonder Als ik denk aan wat jij doet Jij geeft m'n leven nieuwe moed Een beetje glans Een warme tint'ling in m'n bloed Een liefdesdans Een nieuwe kans Het is een wonder Samen werk ik nu met jou aan een nieuw begin Ik heb weer m'n vertrouwen terug en altijd goede zin Alle dingen die ik doe, doe ik met plezier En iedere kus bewaar ik nu als een souvenir Het is een wonder Het is een wonder Ja, dat ik jou heb ontmoet Jij geeft m'n leven nu voorgoed een stimulans Het is een wonder Het is een wonder Als ik denk aan wat jij doet Jij geeft m'n leven nieuwe moed Een beetje glans Een warme tint'ling in m'n bloed Een liefdesdans Een nieuwe kans Het is een wonder "
"911","12","Ireland","Sheeba","""Horoscopes""","English","5","105",1981,"  Rushing for the papers every day To find out what the stars have got to say About the fortunes that are on the way It's crazy, crazy Working, not waiting that forever will hold Success comes from what we do, not from what we're told And counting on lucky stars is living on false hopes Don't let the planets take control of our lives Believe in the truth and not celestial lies It's we, not the stars above, who write our horoscopes Virgos and Arians, Leos, Aquarians Pisces, Cancerians show No matter when we're born Libra or Capricorn Taureans and Scorpions know Nothing can change the way we've chosen to live And no one can tell us when to take or to give It's we, not the stars above, who write our horoscopes Yet, in spite of this, when daylight dies There we are, with eyes turned to the sky All anxious to be told a few more lies Still crazy, crazy Working, not waiting that forever will hold Success comes from what we do, not from what we're told And counting on lucky stars is living on false hopes Don't let the planets take control of our lives Believe in the truth and not celestial lies It's we, not the stars above, who write our horoscopes Throw away almanacs, signs of the Zodiac Then there is sense to be found They are celestial, we are terrestrial Let's keep our feet on the ground Don't let the planets take control of our lives Believe in the truth and not celestial lies It's we, not the stars above, who write our horoscopes It's we, not the stars above, who write our horoscopes "
"912","13","Norway","Finn Kalvik","""Aldri i livet""","Norwegian","20","0",1981,"   ( Aldri i livet, aldri i livet )  Daggryet nynner en myk sorgløs sang Som da jeg så deg for første gang I dine tidløse øyne fins svar Som ingen andre jeg kjenner har Hver gang jeg drar herfra, tenker du på meg da?  Hver gang jeg drar herfra, glem ikke løftet jeg ga: Aldri i livet har jeg tenkt på å reise ifra deg Aldri i livet, min venn, før jeg slår følge med vinden Aldri i livet har jeg tenkt på å reise ifra deg Aldri i livet, min venn, før jeg slår følge med vinden Du har gitt livet en ny harmoni Tiden i ensomhet er forbi Jeg har vært blindet, men nå kan jeg se Elskling, fordi du har lært meg det Hver gang jeg drar herfra, tenker du på meg da?  Hver gang jeg drar herfra, glem ikke løftet jeg ga: Aldri i livet har jeg tenkt på å reise ifra deg Aldri i livet, min venn, før jeg slår følge med vinden Aldri i livet har jeg tenkt på å reise ifra deg Aldri i livet, min venn, før jeg slår følge med vinden  ( Aldri i livet, aldri i livet )   ( Aldri i livet, aldri i livet )  "
"913","14","United Kingdom","Bucks Fizz","""Making Your Mind Up""","English","1","136",1981,"  You gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up You gotta turn it on And then you gotta put it out You gotta be sure that it's something Everybody's gonna talk about Before you decide that the time's arrived For making your mind up Don't let your indecision Take you from behind Trust your inner vision Don't let others change your mind And now you really gotta burn it up And make another fly by night Get a run for your money And take a chance and it'll turn out right But when you can see how it's gotta be You're making your mind up And try to look as if you don't care less But if you wanna see some more Bending the rules of the game Will let you find the one you're looking for And then you can show that you think you know You're making your mind up Don't let your indecision Take you from behind Trust your inner vision Don't let others change your mind And now you really gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up And now you really gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up For making your mind up For making your mind up For making your mind up "
"914","15","Portugal","Carlos Paião","""Playback""","Portuguese","18","9",1981,"  Podes não saber cantar nem sequer assobiar Com certeza que não vais desafinar Em play-back, em play-back, em play-back Só precisas de acertar, não tem nada que enganar E assim mesmo sem cantar, vais encantar Em play-back, em play-back, em play-back Põe o microfone à frente muito disfarçadamente Vai sorrindo que é p'rá gente lá presente não notar Em play-back, tu és alguém Mesmo afónico cantas bem Em play-back, a fazer play-back, e vivó play-back Hás-de sempre cantar Em play-back, respirar p'ra quê?  Quem não sabe também não vê Em play-back, a fazer play-back, e vivó play-back Dá p'ra toda uma soirée Podes não saber cantar nem sequer assobiar Com certeza que não vais desafinar Em play-back, em play-back, em play-back Só precisas de acertar, não tem nada que enganar E assim mesmo sem cantar, vais encantar Em play-back, em play-back, em play-back Abre a boca, fecha a boca Não te enganes, não te esganes Vais ter uma apoteose, põe-te em pose p'ra agradar Em play-back, é que tu és bom A cantar sem fugir do tom Em play-back, a fazer play-back, e vivó play-back Hás-de sempre cantar Com play-back até pedem bis ""Mas decerto"", dirás feliz Em play-back, a fazer play-back, e vivó play-back Agradeces e sorris Podes não saber cantar nem sequer assobiar Com certeza que não vais desafinar Em play-back, em play-back, em play-back Só precisas de acertar, não tem nada que enganar E assim mesmo sem cantar, vais encantar Em play-back, em play-back, em play-back Em play-back, em play-back, em play-back Em play-back, em play-back, em play-back "
"915","16","Belgium","Emly Starr","""Samson""","Dutch","13","40",1981,"  Praat veel van veroveringen Van liefde, maar dan zonder trouw Je weet wel wat je moet verzinnen Voor iedere mooie vrouw Ooh. . .  playboy, 'k zou je graag vergeten Ooh ooh. . .  niemand kan je liefde geven Samson, honderden verhalen Zonder een Delilah Samson, vergeet je wilde haren Zoek je een Delilah Samson Je geeft meer om je rare vrienden Waarmee je luchtkastelen bouwt Bij vrienden wil je vreugde vinden Al hou ik echt van jou Ooh. . .  playboy, ik wil met je leven Ooh ooh. . .  niemand kan je liefde geven Samson, honderden verhalen Zonder een Delilah Samson, vergeet je wilde haren Zoek je een Delilah Je liefde delen is te veel Ik ben je Delilah  ( Als jij dat wil )  'k Verlang zo naar jou De ware Delilah  ( Als jij dat wil )  Je enige vrouw Ooh. . .  playboy, ik wil met je leven Ooh ooh. . .  geen ander kan je liefde geven Samson, honderden verhalen Zonder een Delilah Samson, 'k neem je wilde haren graag Graag met me mee Samson, I love you Samson "
"916","17","Greece","Yiannis Dimitras","""Feggari kalokerino"" (Φεγγάρι καλοκαιρινό)","Greek","8","55",1981,"  Fegari kalokerino, ston iskio su tha triyirno Sti mayemeni astrofegia, luluthia tha 'ne ta filia Irtha konda su na statho, mikro karavi sto yialo Tremo tus iskius tis nihtias, yi' afto fegari mu na m' agapas Fegari kalokerino, stu erota ton urano I mayemeni astrofegia, luluthia kani ta filia Kita ton erimo yialo, su psithirizo s' agapo Tora tha htiso eklisia, yia tis agapis ta trela pethia Fegari kalokerino, stu erota ton urano I mayemeni astrofegia, luluthia kani ta filia "
"917","18","Cyprus","Island","""Monika"" (Μόνικα)","Greek","6","69",1981,"  Pernane ta hronia, i agapes ke hiona mas Vriskune panda mazi Perasame bores ke dhiskoles ores Ma panda i agapi mas zi Pote de thimame, anisihos na' me yiat' Isuna panda esi Pisti sindrofia mu, tragudhi hara mu Agapi k' elpidha hrisi Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monika Zis esi yia mena, zo ego yia sena Ki ine ol' armonika Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monika Zis esi yia mena, zo ego yia sena Ki ine ol' armonika Pote dhe thimame anisihos na' me yiat' Isuna panda esi Pisti sindrofia mu, tragudhi hara mu Agapi k' elpidha hrisi Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monika Zis esi yia mena, zo ego yia sena Ki ine ol' armonika Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monika Zis esi yia mena, zo ego yia sena Ki ine ol' armonika Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monika Zis esi yia mena, zo ego yia sena Ki ine ol' armonika Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monika Zis esi yia mena, zo ego yia sena Ki ine ol' armonika Monika "
"918","19","Switzerland","Peter, Sue and Marc","""Io senza te""","Italian","4","121",1981,"  Dopo la tempesta camminiamo un po' Sulla sabbia pesta chiacchieriamo un po' Ho sbagliato io, hai sbagliato tu Quel che è stato è stato Non parliamone più Io senza te, cosa farei?  Io non respiro se tu non ci sei Io senza te, cosa sarei?  Una farfalla che non vola più Prenderti nel vento come un anno fa Stesso sentimento, stessa intensità E trovar parole che non dissi mai Mentre il sole muore sul mio cuore stai Io senza te, cosa farei Della mia vita e dei giorni miei?  Io senza te, come farei?  Amore mio, t'inventerei Io senza te, cosa farei?  Io senza te, come farei?  Amore mio t'inventerei Amore mio t'inventerei "
"919","20","Sweden","Björn Skifs","""Fångad i en dröm""","Swedish","10","50",1981,"  I mitt hus, där händer det att natten är lång I mitt hus, där känner du nånting är på gång Och när dagen börjar skymma bjuder oron upp till dans Du försöker komma undan men du kommer ingen stans Och fångad i en dröm som inte gör dig fri Fångad i en dröm, hålls du kvar ändå av din fantasi Ja, fångad om igen och om du kunde fly Men fångad i en dröm, blir du kvar ändå tills att dagen gryr I en dröm, i en dröm I en tid när världen skall vara full av logik I en tid när sagor inte längre hör hit Ser du verkligheten rasa och det isar i din hud Och du skriker ut din fasa men det kommer inga ljud Och fångad i en dröm som inte gör dig fri Fångad i en dröm, hålls du kvar ändå av din fantasi Ja, fångad om igen och om du kunde fly Men fångad i en dröm, blir du kvar ändå tills att dagen gryr Fångad i en dröm som inte gör dig fri Fångad i en dröm, hålls du kvar ändå av din fantasi I en dröm, i en dröm I en dröm, i en dröm "
